provider,prompt_id,category,sample,faithfulness_score,checks_yes,checks_no,checks_unclear,checks_total,parse_error,image_path,score_pct
gemini,typ_003,typography,1,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/gemini/typ_003__s1.png,50.0
gemini,typ_003,typography,2,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/gemini/typ_003__s2.png,50.0
gemini,typ_003,typography,3,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/gemini/typ_003__s3.png,50.0
gemini,typ_006,typography,1,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/gemini/typ_006__s1.png,50.0
gemini,typ_006,typography,2,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/gemini/typ_006__s2.png,50.0
gemini,typ_006,typography,3,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/gemini/typ_006__s3.png,50.0
chatgpt,typ_003,typography,1,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/typ_003__s1.png,50.0
chatgpt,typ_003,typography,2,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/typ_003__s2.png,50.0
chatgpt,typ_003,typography,3,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/typ_003__s3.png,50.0
chatgpt,typ_006,typography,1,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/typ_006__s1.png,50.0
chatgpt,typ_006,typography,2,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/typ_006__s2.png,50.0
chatgpt,typ_006,typography,3,0.5,1,0,1,2,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/typ_006__s3.png,50.0
gemini,bind_003,binding,1,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/gemini/bind_003__s1.png,60.0
gemini,bind_003,binding,2,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/gemini/bind_003__s2.png,60.0
gemini,bind_003,binding,3,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/gemini/bind_003__s3.png,60.0
chatgpt,bind_003,binding,1,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/bind_003__s1.png,60.0
chatgpt,bind_003,binding,2,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/bind_003__s2.png,60.0
chatgpt,bind_003,binding,3,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/bind_003__s3.png,60.0
chatgpt,bind_006,binding,1,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/bind_006__s1.png,60.0
chatgpt,bind_006,binding,2,0.6,3,0,2,5,0,runs/2026-02-12_core40_k3_1024/images/chatgpt/bind_006__s2.png,60.0
